window_start,window_open,btc_final,actual_outcome,correct_at_30s,btc_at_30s,poly_price_30s,correct_at_60s,btc_at_60s,poly_price_60s,ev_at_60s,correct_at_90s,btc_at_90s,poly_price_90s,correct_at_120s,btc_at_120s,poly_price_120s,ev_at_120s,correct_at_180s,btc_at_180s,poly_price_180s,ev_at_180s
1774480200,71388.03,71327.7,Down,False,71407.34,0.59,False,71420.03,0.65,True,False,71429.03,0.78,False,71428.92,0.75,True,True,71358.78,0.81,True
1774480500,71327.7,71270.02,Down,True,71303.88,0.64,True,71311.8,0.55,True,True,71299.77,0.64,True,71275.82,0.79,False,True,71278.99,0.84,False
1774480800,71270.02,71377.92,Up,False,71248.81,0.63,False,71268.27,0.6,True,True,71282.9,0.63,True,71299.26,0.72,True,True,71342.54,0.92,False
1774481100,71377.93,71359.58,Down,False,71398.22,0.55,False,71400.0,0.63,True,False,71401.4,0.68,False,71420.91,0.79,False,False,71411.73,0.76,True
1774481400,71384.46,71341.27,Down,True,71366.26,0.47,True,71350.02,0.62,True,True,71339.58,0.7,True,71326.05,0.74,True,True,71344.81,0.6,True
1774481700,71341.26,71273.69,Down,True,71332.11,0.5900000000000001,False,71357.0,0.59,True,True,71338.87,0.45999999999999996,True,71316.14,0.6599999999999999,True,True,71298.19,0.84,False
1774482000,71273.69,71216.48,Down,True,71254.73,0.5900000000000001,False,71278.63,0.53,True,True,71260.26,0.5800000000000001,True,71250.06,0.6799999999999999,True,True,71228.17,0.84,False
1774482300,71216.47,71233.36,Up,False,71198.71,0.5800000000000001,True,71216.79,0.55,True,True,71242.58,0.72,True,71246.06,0.74,True,True,71257.25,0.86,False
1774482600,71233.36,71342.99,Up,True,71248.42,0.6,True,71256.43,0.68,True,True,71269.09,0.64,True,71266.8,0.73,True,True,71301.29,0.92,False
1774482900,71343.0,71336.52,Down,True,71339.14,0.52,False,71349.95,0.48,True,False,71379.17,0.69,False,71379.16,0.69,True,True,71342.47,0.52,True
1774483200,71336.53,71250.06,Down,False,71368.78,0.61,False,71338.01,0.55,True,False,71347.91,0.57,True,71326.59,0.64,True,True,71320.28,0.61,True
1774483500,71250.06,71222.33,Down,False,71270.0,0.62,False,71293.71,0.66,True,False,71285.76,0.67,False,71266.96,0.56,True,False,71259.58,0.55,True
1774483800,71222.33,71247.41,Up,True,71223.42,0.5,True,71224.01,0.47,True,True,71224.0,0.49,False,71217.9,0.53,True,False,71203.44,0.62,True
1774484100,71250.0,71240.0,Down,False,71299.12,0.78,False,71294.44,0.75,False,False,71324.82,0.86,False,71353.5,0.9,False,False,71342.6,0.93,False
1774484400,71240.0,71303.37,Up,True,71243.66,0.52,True,71248.14,0.59,True,True,71262.01,0.63,True,71243.18,0.5,True,True,71303.0,0.91,False
1774484700,71303.36,71306.6,Up,False,71269.01,0.63,False,71251.99,0.6599999999999999,True,False,71275.14,0.5700000000000001,False,71284.0,0.5700000000000001,True,False,71258.37,0.77,True
1774485000,71306.59,71299.93,Down,True,71282.0,0.64,True,71305.48,0.51,True,False,71355.71,0.69,False,71329.01,0.62,True,False,71336.64,0.68,True
1774485300,71299.93,71326.87,Up,True,71340.79,0.68,True,71374.99,0.83,False,True,71378.57,0.84,True,71385.83,0.85,False,True,71384.23,0.92,False
1774485600,71327.64,71355.88,Up,True,71341.43,0.62,True,71360.93,0.7,True,True,71355.01,0.66,True,71348.21,0.63,True,True,71337.47,0.66,True
1774485900,71355.88,71389.29,Up,True,71358.7,0.59,True,71358.7,0.53,True,True,71366.26,0.74,True,71375.29,0.73,True,True,71393.99,0.86,False
1774486200,71389.28,71232.39,Down,True,71372.33,0.48,True,71385.12,0.45999999999999996,True,True,71345.44,0.7,True,71345.83,0.7,True,True,71252.6,0.98,False
1774486500,71232.4,71299.27,Up,False,71172.72,0.6799999999999999,False,71157.76,0.7,True,False,71180.3,0.64,False,71220.24,0.5,True,True,71253.7,0.74,True
1774486800,71299.27,71310.01,Up,True,71334.01,0.7,True,71340.02,0.76,False,True,71337.26,0.67,True,71337.05,0.77,False,True,71329.99,0.77,True
1774487100,71294.35,71242.73,Down,True,71266.21,0.63,True,71265.33,0.7,True,True,71246.4,0.81,True,71238.81,0.81,False,True,71246.1,0.87,False
