window_start,btc_open,poly_open,btc_at_30s,poly_at_30s,signal_direction,outcome,won
2026-04-08 22:05 UTC,71471.45,0.545,71454.07,0.78,higher,higher,True
2026-04-08 22:10 UTC,71533.29,0.695,71506.85,0.605,higher,lower,False
2026-04-08 22:20 UTC,71379.3,0.505,71379.3,0.505,lower,lower,True
2026-04-08 22:25 UTC,71307.18,0.635,71307.18,0.685,higher,lower,False
2026-04-08 22:30 UTC,71171.49,0.585,71171.49,0.535,lower,higher,False
2026-04-08 22:35 UTC,71253.58,0.545,71344.45,0.795,higher,higher,True
2026-04-08 22:40 UTC,71326.49,0.525,71316.93,0.505,higher,lower,False
2026-04-08 22:45 UTC,71274.39,0.535,71244.12,0.655,higher,higher,True
2026-04-08 22:50 UTC,71256.77,0.505,71279.53,0.525,higher,lower,False
2026-04-08 22:55 UTC,71168.13,0.535,71139.71,0.695,lower,lower,True
2026-04-08 23:00 UTC,71085.26,0.575,71080.74,0.645,lower,lower,True
2026-04-08 23:05 UTC,70944.77,0.575,70973.48,0.69,higher,higher,True
2026-04-08 23:10 UTC,71037.25,0.575,71013.46,0.79,higher,higher,True
2026-04-08 23:15 UTC,71167.02,0.515,71175.58,0.535,lower,lower,True
2026-04-08 23:20 UTC,71090.71,0.535,71090.71,0.595,higher,lower,False
2026-04-08 23:25 UTC,71009.35,0.565,70999.53,0.525,lower,higher,False
2026-04-08 23:30 UTC,71041.19,0.525,71041.19,0.555,lower,lower,True
2026-04-08 23:35 UTC,71030.4,0.525,71022.07,0.595,higher,higher,True
2026-04-08 23:40 UTC,71077.67,0.515,71068.3,0.625,higher,higher,True
2026-04-08 23:45 UTC,71089.95,0.575,71089.95,0.575,higher,higher,True
2026-04-08 23:50 UTC,71129.73,0.56,71165.84,0.655,higher,lower,False
2026-04-08 23:55 UTC,71109.06,0.505,71118.74,0.535,higher,lower,False
2026-04-09 00:05 UTC,71017.84,0.505,71059.35,0.575,lower,higher,False
2026-04-09 00:10 UTC,71070.65,0.545,71041.16,0.605,lower,lower,True
2026-04-09 00:15 UTC,71026.1,0.505,71006.23,0.565,lower,lower,True
2026-04-09 00:20 UTC,70942.88,0.605,70942.88,0.715,lower,higher,False
2026-04-09 00:25 UTC,70962.68,0.505,70944.47,0.515,higher,lower,False
2026-04-09 00:30 UTC,70967.42,0.54,70912.91,0.76,lower,lower,True
2026-04-09 00:35 UTC,70808.14,0.54,70838.18,0.535,higher,lower,False
2026-04-09 00:40 UTC,70863.57,0.67,70863.57,0.575,higher,higher,True
2026-04-09 00:45 UTC,70794.33,0.555,70794.33,0.56,lower,lower,True
2026-04-09 00:50 UTC,70744.49,0.505,70747.28,0.595,lower,higher,False
2026-04-09 00:55 UTC,70761.9,0.515,70848.89,0.765,higher,higher,True
2026-04-09 01:00 UTC,70843.94,0.595,70864.73,0.715,higher,higher,True
2026-04-09 01:05 UTC,70819.19,0.575,70871.65,0.525,higher,lower,False
2026-04-09 01:10 UTC,70565.76,0.525,70576.74,0.505,lower,higher,False
2026-04-09 01:15 UTC,70649.89,0.515,70665.98,0.535,higher,lower,False
2026-04-09 01:20 UTC,70619.3,0.535,70612.24,0.555,higher,lower,False
2026-04-09 01:25 UTC,70519.0,0.565,70582.62,0.545,higher,higher,True
2026-04-09 01:30 UTC,70586.14,0.595,70631.24,0.525,lower,higher,False
2026-04-09 01:35 UTC,70831.31,0.535,70831.31,0.545,lower,lower,True
2026-04-09 01:40 UTC,70788.5,0.505,70777.03,0.535,lower,lower,True
2026-04-09 01:45 UTC,70760.6,0.515,70760.21,0.535,lower,higher,False
2026-04-09 01:50 UTC,70846.57,0.545,70850.82,0.595,higher,higher,True
2026-04-09 01:55 UTC,70907.93,0.515,70950.71,0.535,lower,lower,True
2026-04-09 02:00 UTC,70920.5,0.555,70932.79,0.645,higher,lower,False
2026-04-09 02:05 UTC,70894.88,0.505,70908.96,0.63,higher,higher,True
2026-04-09 02:10 UTC,70975.83,0.505,70975.83,0.515,lower,lower,True
2026-04-09 02:15 UTC,70844.01,0.505,70843.01,0.635,lower,higher,False
2026-04-09 02:20 UTC,70923.68,0.555,70935.07,0.625,lower,lower,True
2026-04-09 02:25 UTC,70939.68,0.545,70941.69,0.545,higher,higher,True
2026-04-09 02:30 UTC,71052.77,0.535,71023.37,0.515,higher,higher,True
2026-04-09 02:35 UTC,71065.54,0.62,71049.77,0.525,lower,lower,True
2026-04-09 02:40 UTC,71044.92,0.515,71044.92,0.565,lower,higher,False
2026-04-09 02:45 UTC,71014.08,0.665,71000.97,0.72,lower,higher,False
2026-04-09 02:50 UTC,71148.72,0.525,71136.99,0.585,lower,higher,False
2026-04-09 02:55 UTC,71162.12,0.555,71158.52,0.535,lower,lower,True
2026-04-09 03:00 UTC,71052.0,0.535,71062.56,0.625,lower,higher,False
2026-04-09 03:05 UTC,71083.39,0.595,71086.11,0.575,higher,lower,False
2026-04-09 03:10 UTC,71000.91,0.515,71000.91,0.595,lower,lower,True
2026-04-09 03:15 UTC,70981.94,0.515,70989.62,0.505,lower,lower,True
2026-04-09 03:20 UTC,70972.41,0.595,70985.64,0.735,lower,higher,False
2026-04-09 03:25 UTC,70989.36,0.505,70996.17,0.545,lower,lower,True
2026-04-09 05:40 UTC,71083.41,0.635,71083.41,0.785,lower,lower,True
2026-04-09 21:45 UTC,72455.62,0.575,72420.28,0.58,lower,lower,True
2026-04-09 21:50 UTC,72407.06,0.505,72394.0,0.735,lower,lower,True
2026-04-09 21:55 UTC,72302.8,0.505,72302.8,0.535,higher,lower,False
2026-04-09 22:00 UTC,72270.67,0.675,72270.67,0.625,higher,higher,True
2026-04-09 22:15 UTC,72482.63,0.555,72552.81,0.765,higher,higher,True
2026-04-09 22:25 UTC,72792.37,0.66,72790.22,0.675,lower,lower,True
2026-04-09 22:30 UTC,72609.34,0.525,72603.79,0.725,lower,lower,True
2026-04-09 22:35 UTC,72553.94,0.66,72502.24,0.695,lower,lower,True
2026-04-09 22:40 UTC,72384.77,0.545,72360.26,0.735,higher,lower,False
2026-04-09 22:45 UTC,72326.74,0.515,72322.73,0.56,higher,higher,True
2026-04-09 22:50 UTC,72270.45,0.515,72421.65,0.705,lower,lower,True
